"Номер","Дата измерения","TypeOfSample","Matrix","MatrixDescription","AnalysisProgram","AnalysisProgramDescription","AnalysisMode","TaskNumber","TaskName","MaterialName","ID1","ID2","ID3","ID4","ID5","ID6","Comment","Average"
"94001","28 дек. 2017 г., 13:46","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","Е172-184(1)","ЭИ654-ш","ТЕМПЛЕТ","ЦСЭМ","Захарова А.Г.","--","--","Z"
"94002","28 дек. 2017 г., 13:52","T","FE","--","FE 3","CrNi Steel","2","110","Типовая рекалиб. проба","--","512","--","--","--","--","--","--","Z"
"94003","28 дек. 2017 г., 13:55","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","Е172-184(1)","ЭИ654-ш","ТЕМПЛЕТ","ЦСЭМ-ПРОВЕРКА","Захарова А.Г.","--","--","Z"
"94004","28 дек. 2017 г., 14:03","P","FE","--","FE 5","Ni Steel, NoCoMo Steel","2","001","Routine Analysis","--","Е171-241(1)","ЭП637А-ид","ТЕМПЛЕТ","ЦСЭМ","Захарова А.Г.","--","--","Z"
"94005","28 дек. 2017 г., 14:06","P","FE","--","FE 5","Ni Steel, NoCoMo Steel","2","001","Routine Analysis","--","Е171-244(1)","ЭП637А-ид","ТЕМПЛЕТ","ЦСЭМ","Захарова А.Г.","--","--","Z"
"94006","28 дек. 2017 г., 14:11","T","FE","--","FE 3","CrNi Steel","2","110","Типовая рекалиб. проба","--","512","--","--","--","--","--","--","Z"
"94007","28 дек. 2017 г., 14:14","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","Е172-184(1)","ЭП654-ш","ТЕМПЛЕТ","ЦСЭМ-ПРОВЕРКА 2","Захарова А.Г.","--","--","Z"
"94008","28 дек. 2017 г., 16:17","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","СО 2ФМ7","ЭП654-ш","ТЕМПЛЕТ","ЦСЭМ-ПРОВЕРКА 3","Захарова А.Г.","--","--","Z"
"94009","28 дек. 2017 г., 16:19","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","СО 2ФМ9","ЭП654-ш","ТЕМПЛЕТ","ЦСЭМ-ПРОВЕРКА 3","Захарова А.Г.","--","--","Z"
"94010","28 дек. 2017 г., 16:20","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","СО ЛГ34Д","ЭП654-ш","ТЕМПЛЕТ","ЦСЭМ-ПРОВЕРКА 3","Захарова А.Г.","--","--","Z"
"94011","28 дек. 2017 г., 16:22","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","СО 143--4","ЭП654-ш","ТЕМПЛЕТ","ЦСЭМ-ПРОВЕРКА 3","Захарова А.Г.","--","--","Z"
"94012","28 дек. 2017 г., 16:24","P","FE","--","FE 3","CrNi Steel","2","001","Routine Analysis","--","СО ЛГ35Д","ЭП654-ш","ТЕМПЛЕТ","ЦСЭМ-ПРОВЕРКА 3","Захарова А.Г.","--","--","Z"
"94013","28 дек. 2017 г., 17:17","P","NI","--","NI1RUSPOLIMET","NI99-Pure Nickel","2","001","Routine Analysis","--","И-17-120-1","НПОЭ-ВИ","УС.КОНУС","ЦСЭМ","Киргизова Е.А.","--","--","Z"
"94014","28 дек. 2017 г., 19:40","P","NI","--","NI1RUSPOLIMET","NI99-Pure Nickel","2","001","Routine Analysis","--","И-17-120-К","НПОЭ-ВИ","УС.КОНУС","ЦСЭМ","Стриканова Н.А.","--","--","Z"
"94015","28 дек. 2017 г., 22:17","T","NI","--","NI3","NiCoCrAlTi - Nimonic90, 105","2","110","Типовая рекалиб. проба","--","М3В94","--","--","--","--","--","--","Z"
"94016","28 дек. 2017 г., 22:24","P","NI","--","NI3","NiCoCrAlTi - Nimonic90, 105","2","001","Routine Analysis","--","В172-373-1","NC20K14V","УС.КОНУС","ЦСЭМ","Лунькова О.В.","--","--","Z"
"94017","29 дек. 2017 г., 8:42","T","FE","--","FE 2","Cr Steel","2","110","Типовая рекалиб. проба","--","ЛГ43А","--","--","--","--","--","--","Z"
"94018","29 дек. 2017 г., 8:44","P","FE","--","FE 2","Cr Steel","2","001","Routine Analysis","--","6-17-1-3391-1","20Х13","ТАБЛЕТКА","ЦЭМ","Лунькова О.В.","--","--","Z"
"94019","29 дек. 2017 г., 9:19","P","FE","--","FE 2","Cr Steel","2","001","Routine Analysis","--","6-17-1-3391-2","20Х13","ТАБЛЕТКА","ЦЭМ","Лунькова О.В.","--","--","Z"
"94020","29 дек. 2017 г., 10:05","P","FE","--","FE 2","Cr Steel","2","001","Routine Analysis","--","6-17-1-3391-3","20Х13","УС.КОНУС","ЦЭМ","Киселёва Л.Е.","--","--","Z"
